Session Title,Number of FLU ED Encounters by State and Age,,,
Session Description,"ED encounters, 3 ED diagnoses j09* j10* j11*, 53 states, 6 age groups, 2023-2025",,,
Session ID,2726822,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* )",,,
Session Date Range,1/1/2023 12:00 AM - 7/17/2025 12:00 AM (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,7/28/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,68
,,,Jan 8 – Jan 14,29
,,,Jan 15 – Jan 21,38
,,,Jan 22 – Jan 28,22
,,,Jan 29 – Feb 4,23
,,,Feb 5 – Feb 11,24
,,,Feb 12 – Feb 18,10 or fewer
,,,Feb 19 – Feb 25,12
,,,Feb 26 – Mar 4,10 or fewer
,,,Mar 5 – Mar 11,10 or fewer
,,,Mar 12 – Mar 18,11
,,,Mar 19 – Mar 25,10 or fewer
,,,Mar 26 – Apr 1,10 or fewer
,,,Apr 2 – Apr 8,10 or fewer
,,,Apr 9 – Apr 15,10 or fewer
,,,Apr 16 – Apr 22,10 or fewer
,,,Apr 23 – Apr 29,14
,,,Apr 30 – May 6,10 or fewer
,,,May 7 – May 13,10 or fewer
,,,May 14 – May 20,13
,,,May 21 – May 27,20
,,,May 28 – Jun 3,23
,,,Jun 4 – Jun 10,27
,,,Jun 11 – Jun 17,11
,,,Jun 18 – Jun 24,14
,,,Jun 25 – Jul 1,21
,,,Jul 2 – Jul 8,12
,,,Jul 9 – Jul 15,16
,,,Jul 16 – Jul 22,17
,,,Jul 23 – Jul 29,14
,,,Jul 30 – Aug 5,13
,,,Aug 6 – Aug 12,14
,,,Aug 13 – Aug 19,10 or fewer
,,,Aug 20 – Aug 26,12
,,,Aug 27 – Sep 2,15
,,,Sep 3 – Sep 9,13
,,,Sep 10 – Sep 16,15
,,,Sep 17 – Sep 23,15
,,,Sep 24 – Sep 30,22
,,,Oct 1 – Oct 7,23
,,,Oct 8 – Oct 14,34
,,,Oct 15 – Oct 21,42
,,,Oct 22 – Oct 28,65
,,,Oct 29 – Nov 4,78
,,,Nov 5 – Nov 11,72
,,,Nov 12 – Nov 18,104
,,,Nov 19 – Nov 25,103
,,,Nov 26 – Dec 2,105
,,,Dec 3 – Dec 9,109
,,,Dec 10 – Dec 16,121
,,,Dec 17 – Dec 23,125
,,,Dec 24 – Dec 30,173
,,2023 – 2024,Dec 31 – Jan 6,140
,,2024,Jan 7 – Jan 13,85
,,,Jan 14 – Jan 20,85
,,,Jan 21 – Jan 27,70
,,,Jan 28 – Feb 3,65
,,,Feb 4 – Feb 10,80
,,,Feb 11 – Feb 17,56
,,,Feb 18 – Feb 24,53
,,,Feb 25 – Mar 2,61
,,,Mar 3 – Mar 9,59
,,,Mar 10 – Mar 16,43
,,,Mar 17 – Mar 23,27
,,,Mar 24 – Mar 30,25
,,,Mar 31 – Apr 6,22
,,,Apr 7 – Apr 13,28
,,,Apr 14 – Apr 20,16
,,,Apr 21 – Apr 27,13
,,,Apr 28 – May 4,11
,,,May 5 – May 11,11
,,,May 12 – May 18,14
,,,May 19 – May 25,14
,,,May 26 – Jun 1,10 or fewer
,,,Jun 2 – Jun 8,11
,,,Jun 9 – Jun 15,10 or fewer
,,,Jun 16 – Jun 22,10 or fewer
,,,Jun 23 – Jun 29,10 or fewer
,,,Jun 30 – Jul 6,10 or fewer
,,,Jul 7 – Jul 13,10 or fewer
,,,Jul 14 – Jul 20,11
,,,Jul 21 – Jul 27,10 or fewer
,,,Jul 28 – Aug 3,10 or fewer
,,,Aug 4 – Aug 10,10 or fewer
,,,Aug 11 – Aug 17,10 or fewer
,,,Aug 18 – Aug 24,10 or fewer
,,,Aug 25 – Aug 31,10 or fewer
,,,Sep 1 – Sep 7,10 or fewer
,,,Sep 8 – Sep 14,10 or fewer
,,,Sep 15 – Sep 21,10 or fewer
,,,Sep 22 – Sep 28,13
,,,Sep 29 – Oct 5,13
,,,Oct 6 – Oct 12,17
,,,Oct 13 – Oct 19,10 or fewer
,,,Oct 20 – Oct 26,15
,,,Oct 27 – Nov 2,16
,,,Nov 3 – Nov 9,29
,,,Nov 10 – Nov 16,33
,,,Nov 17 – Nov 23,35
,,,Nov 24 – Nov 30,42
,,,Dec 1 – Dec 7,75
,,,Dec 8 – Dec 14,77
,,,Dec 15 – Dec 21,118
,,,Dec 22 – Dec 28,199
,,2024 – 2025,Dec 29 – Jan 4,241
,,2025,Jan 5 – Jan 11,154
,,,Jan 12 – Jan 18,210
,,,Jan 19 – Jan 25,206
,,,Jan 26 – Feb 1,282
,,,Feb 2 – Feb 8,245
,,,Feb 9 – Feb 15,169
,,,Feb 16 – Feb 22,121
,,,Feb 23 – Mar 1,85
,,,Mar 2 – Mar 8,56
,,,Mar 9 – Mar 15,49
,,,Mar 16 – Mar 22,57
,,,Mar 23 – Mar 29,46
,,,Mar 30 – Apr 5,22
,,,Apr 6 – Apr 12,20
,,,Apr 13 – Apr 19,24
,,,Apr 20 – Apr 26,15
,,,Apr 27 – May 3,21
,,,May 4 – May 10,10 or fewer
,,,May 11 – May 17,10 or fewer
,,,May 18 – May 24,10 or fewer
,,,May 25 – May 31,10 or fewer
,,,Jun 1 – Jun 7,11
,,,Jun 8 – Jun 14,10 or fewer
,,,Jun 15 – Jun 21,10 or fewer
,,,Jun 22 – Jun 28,14
,,,Jun 29 – Jul 5,10 or fewer
,,,Jul 6 – Jul 12,10 or fewer
,,,Jul 13 – Jul 17,10 or fewer
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,281
,,,Jan 8 – Jan 14,177
,,,Jan 15 – Jan 21,147
,,,Jan 22 – Jan 28,123
,,,Jan 29 – Feb 4,103
,,,Feb 5 – Feb 11,97
,,,Feb 12 – Feb 18,65
,,,Feb 19 – Feb 25,51
,,,Feb 26 – Mar 4,56
,,,Mar 5 – Mar 11,49
,,,Mar 12 – Mar 18,32
,,,Mar 19 – Mar 25,53
,,,Mar 26 – Apr 1,21
,,,Apr 2 – Apr 8,27
,,,Apr 9 – Apr 15,30
,,,Apr 16 – Apr 22,38
,,,Apr 23 – Apr 29,50
,,,Apr 30 – May 6,52
,,,May 7 – May 13,73
,,,May 14 – May 20,75
,,,May 21 – May 27,71
,,,May 28 – Jun 3,88
,,,Jun 4 – Jun 10,80
,,,Jun 11 – Jun 17,68
,,,Jun 18 – Jun 24,66
,,,Jun 25 – Jul 1,44
,,,Jul 2 – Jul 8,67
,,,Jul 9 – Jul 15,62
,,,Jul 16 – Jul 22,61
,,,Jul 23 – Jul 29,51
,,,Jul 30 – Aug 5,59
,,,Aug 6 – Aug 12,49
,,,Aug 13 – Aug 19,48
,,,Aug 20 – Aug 26,73
,,,Aug 27 – Sep 2,60
,,,Sep 3 – Sep 9,50
,,,Sep 10 – Sep 16,72
,,,Sep 17 – Sep 23,85
,,,Sep 24 – Sep 30,125
,,,Oct 1 – Oct 7,150
,,,Oct 8 – Oct 14,172
,,,Oct 15 – Oct 21,228
,,,Oct 22 – Oct 28,283
,,,Oct 29 – Nov 4,329
,,,Nov 5 – Nov 11,384
,,,Nov 12 – Nov 18,392
,,,Nov 19 – Nov 25,432
,,,Nov 26 – Dec 2,434
,,,Dec 3 – Dec 9,512
,,,Dec 10 – Dec 16,576
,,,Dec 17 – Dec 23,617
,,,Dec 24 – Dec 30,694
,,2023 – 2024,Dec 31 – Jan 6,515
,,2024,Jan 7 – Jan 13,381
,,,Jan 14 – Jan 20,352
,,,Jan 21 – Jan 27,337
,,,Jan 28 – Feb 3,318
,,,Feb 4 – Feb 10,326
,,,Feb 11 – Feb 17,283
,,,Feb 18 – Feb 24,260
,,,Feb 25 – Mar 2,239
,,,Mar 3 – Mar 9,194
,,,Mar 10 – Mar 16,211
,,,Mar 17 – Mar 23,146
,,,Mar 24 – Mar 30,125
,,,Mar 31 – Apr 6,101
,,,Apr 7 – Apr 13,90
,,,Apr 14 – Apr 20,70
,,,Apr 21 – Apr 27,65
,,,Apr 28 – May 4,66
,,,May 5 – May 11,44
,,,May 12 – May 18,54
,,,May 19 – May 25,55
,,,May 26 – Jun 1,53
,,,Jun 2 – Jun 8,46
,,,Jun 9 – Jun 15,29
,,,Jun 16 – Jun 22,36
,,,Jun 23 – Jun 29,32
,,,Jun 30 – Jul 6,22
,,,Jul 7 – Jul 13,31
,,,Jul 14 – Jul 20,30
,,,Jul 21 – Jul 27,18
,,,Jul 28 – Aug 3,22
,,,Aug 4 – Aug 10,23
,,,Aug 11 – Aug 17,21
,,,Aug 18 – Aug 24,27
,,,Aug 25 – Aug 31,35
,,,Sep 1 – Sep 7,32
,,,Sep 8 – Sep 14,39
,,,Sep 15 – Sep 21,62
,,,Sep 22 – Sep 28,62
,,,Sep 29 – Oct 5,62
,,,Oct 6 – Oct 12,66
,,,Oct 13 – Oct 19,51
,,,Oct 20 – Oct 26,71
,,,Oct 27 – Nov 2,109
,,,Nov 3 – Nov 9,125
,,,Nov 10 – Nov 16,122
,,,Nov 17 – Nov 23,168
,,,Nov 24 – Nov 30,260
,,,Dec 1 – Dec 7,241
,,,Dec 8 – Dec 14,390
,,,Dec 15 – Dec 21,656
,,,Dec 22 – Dec 28,874
,,2024 – 2025,Dec 29 – Jan 4,710
,,2025,Jan 5 – Jan 11,619
,,,Jan 12 – Jan 18,930
,,,Jan 19 – Jan 25,1018
,,,Jan 26 – Feb 1,1226
,,,Feb 2 – Feb 8,1013
,,,Feb 9 – Feb 15,764
,,,Feb 16 – Feb 22,502
,,,Feb 23 – Mar 1,352
,,,Mar 2 – Mar 8,291
,,,Mar 9 – Mar 15,251
,,,Mar 16 – Mar 22,175
,,,Mar 23 – Mar 29,173
,,,Mar 30 – Apr 5,125
,,,Apr 6 – Apr 12,92
,,,Apr 13 – Apr 19,71
,,,Apr 20 – Apr 26,94
,,,Apr 27 – May 3,51
,,,May 4 – May 10,46
,,,May 11 – May 17,46
,,,May 18 – May 24,34
,,,May 25 – May 31,50
,,,Jun 1 – Jun 7,41
,,,Jun 8 – Jun 14,41
,,,Jun 15 – Jun 21,24
,,,Jun 22 – Jun 28,38
,,,Jun 29 – Jul 5,39
,,,Jul 6 – Jul 12,35
,,,Jul 13 – Jul 17,10 or fewer
,≥ 5 and < 18 Years,2023,Jan 1 – Jan 7,366
,,,Jan 8 – Jan 14,331
,,,Jan 15 – Jan 21,299
,,,Jan 22 – Jan 28,319
,,,Jan 29 – Feb 4,283
,,,Feb 5 – Feb 11,232
,,,Feb 12 – Feb 18,165
,,,Feb 19 – Feb 25,163
,,,Feb 26 – Mar 4,123
,,,Mar 5 – Mar 11,113
,,,Mar 12 – Mar 18,69
,,,Mar 19 – Mar 25,84
,,,Mar 26 – Apr 1,93
,,,Apr 2 – Apr 8,88
,,,Apr 9 – Apr 15,105
,,,Apr 16 – Apr 22,116
,,,Apr 23 – Apr 29,173
,,,Apr 30 – May 6,200
,,,May 7 – May 13,222
,,,May 14 – May 20,229
,,,May 21 – May 27,317
,,,May 28 – Jun 3,288
,,,Jun 4 – Jun 10,193
,,,Jun 11 – Jun 17,154
,,,Jun 18 – Jun 24,113
,,,Jun 25 – Jul 1,143
,,,Jul 2 – Jul 8,122
,,,Jul 9 – Jul 15,87
,,,Jul 16 – Jul 22,91
,,,Jul 23 – Jul 29,83
,,,Jul 30 – Aug 5,77
